Date;Open;High;Low;Close;Adj Close;Volume
10-12-2021;175,210007;179,630005;174,690002;179,449997;178,958725;115402700
13-12-2021;181,119995;182,130005;175,529999;175,740005;175,258881;153237000
14-12-2021;175,25;177,740005;172,210007;174,330002;173,852753;139380400
15-12-2021;175,110001;179,5;172,309998;179,300003;178,809143;131063300
16-12-2021;179,279999;181,139999;170,75;172,259995;171,788406;150185800
17-12-2021;169,929993;173,470001;169,690002;171,139999;170,671478;195432700
20-12-2021;168,279999;170,580002;167,460007;169,75;169,285278;107499100
21-12-2021;171,559998;173,199997;169,119995;172,990005;172,516403;91185900
22-12-2021;173,039993;175,860001;172,149994;175,639999;175,159149;92135300
23-12-2021;175,850006;176,850006;175,270004;176,279999;175,797409;68356600
27-12-2021;177,089996;180,419998;177,070007;180,330002;179,836319;74919600
28-12-2021;180,160004;181,330002;178,529999;179,289993;178,799149;79144300
29-12-2021;179,330002;180,630005;178,139999;179,380005;178,888916;62348900
30-12-2021;179,470001;180,570007;178,089996;178,199997;177,712143;59773000
31-12-2021;178,089996;179,229996;177,259995;177,570007;177,083878;64062300
03-01-2022;177,830002;182,880005;177,710007;182,009995;181,511703;104487900
04-01-2022;182,630005;182,940002;179,119995;179,699997;179,208038;99310400
05-01-2022;179,610001;180,169998;174,639999;174,919998;174,441116;94537600
06-01-2022;172,699997;175,300003;171,639999;172;171,529129;96904000
07-01-2022;172,889999;174,139999;171,029999;172,169998;171,698654;86709100
10-01-2022;169,080002;172,5;168,169998;172,190002;171,718597;106765600
11-01-2022;172,320007;175,179993;170,820007;175,080002;174,600693;76138300
12-01-2022;176,119995;177,179993;174,820007;175,529999;175,049454;74805200
13-01-2022;175,779999;176,619995;171,789993;172,190002;171,718597;84505800
14-01-2022;171,339996;173,779999;171,089996;173,070007;172,596207;80440800
18-01-2022;171,509995;172,539993;169,410004;169,800003;169,335144;90956700
19-01-2022;170;171,080002;165,940002;166,229996;165,774918;94815000
20-01-2022;166,979996;169,679993;164,179993;164,509995;164,059616;91420500
21-01-2022;164,419998;166,330002;162,300003;162,410004;161,965378;122848900
24-01-2022;160,020004;162,300003;154,699997;161,619995;161,177521;162294600
25-01-2022;158,979996;162,759995;157,020004;159,779999;159,342575;115798400
26-01-2022;163,5;164,389999;157,820007;159,690002;159,252823;108275300
27-01-2022;162,449997;163,839996;158,279999;159,220001;158,784119;121954600
28-01-2022;165,710007;170,350006;162,800003;170,330002;169,863693;179935700
31-01-2022;170,160004;175;169,509995;174,779999;174,301514;115541600
01-02-2022;174,009995;174,839996;172,309998;174,610001;174,131973;86213900
02-02-2022;174,75;175,880005;173,330002;175,839996;175,358612;84914300
03-02-2022;174,479996;176,240005;172,119995;172,899994;172,426651;89418100
04-02-2022;171,679993;174,100006;170,679993;172,389999;172,137085;82465400
07-02-2022;172,860001;173,949997;170,949997;171,660004;171,408157;77251200
08-02-2022;171,729996;175,350006;171,429993;174,830002;174,573502;74829200
09-02-2022;176,050003;176,649994;174,899994;176,279999;176,021378;71285000
10-02-2022;174,139999;175,479996;171,550003;172,119995;171,867477;90865900
11-02-2022;172,330002;173,080002;168,039993;168,639999;168,392593;98670700
14-02-2022;167,369995;169,580002;166,559998;168,880005;168,632233;86185500
15-02-2022;170,970001;172,949997;170,25;172,789993;172,536499;62527400
16-02-2022;171,850006;173,339996;170,050003;172,550003;172,29686;61177400
17-02-2022;171,029999;171,910004;168,470001;168,880005;168,632233;69589300
18-02-2022;169,820007;170,539993;166,190002;167,300003;167,05455;82772700
22-02-2022;164,979996;166,690002;162,149994;164,320007;164,078934;91162800
23-02-2022;165,539993;166,149994;159,75;160,070007;159,835175;90009200
24-02-2022;152,580002;162,850006;152;162,740005;162,501251;141147500
25-02-2022;163,839996;165,119995;160,869995;164,850006;164,608154;91974200
28-02-2022;163,059998;165,419998;162,429993;165,119995;164,877747;95056600
01-03-2022;164,699997;166,600006;161,970001;163,199997;162,960571;83474400
02-03-2022;164,389999;167,360001;162,949997;166,559998;166,315643;79724800
03-03-2022;168,470001;168,910004;165,550003;166,229996;165,986115;76678400
04-03-2022;164,490005;165,550003;162,100006;163,169998;162,930603;83737200
07-03-2022;163,360001;165,020004;159,039993;159,300003;159,066299;96418800
08-03-2022;158,820007;162,880005;155,800003;157,440002;157,209015;131148300
09-03-2022;161,479996;163,410004;159,410004;162,949997;162,710938;91454900
10-03-2022;160,199997;160,389999;155,979996;158,520004;158,287445;105342000
11-03-2022;158,929993;159,279999;154,5;154,729996;154,502991;96970100
14-03-2022;151,449997;154,119995;150,100006;150,619995;150,399017;108732100
15-03-2022;150,899994;155,570007;150,380005;155,089996;154,862457;92964300
16-03-2022;157,050003;160;154,460007;159,589996;159,355865;102300200
17-03-2022;158,610001;161;157,630005;160,619995;160,384354;75615400
18-03-2022;160,509995;164,479996;159,759995;163,979996;163,739426;123511700
21-03-2022;163,509995;166,350006;163,009995;165,380005;165,137375;95811400
22-03-2022;165,509995;169,419998;164,910004;168,820007;168,572327;81532000
23-03-2022;167,990005;172,639999;167,649994;170,210007;169,960297;98062700
24-03-2022;171,059998;174,139999;170,210007;174,070007;173,814621;90131400
25-03-2022;173,880005;175,279999;172,75;174,720001;174,463669;80546200
28-03-2022;172,169998;175,729996;172;175,600006;175,342377;90371900
29-03-2022;176,690002;179,009995;176,339996;178,960007;178,697449;100589400
30-03-2022;178,550003;179,610001;176,699997;177,770004;177,509201;92633200
31-03-2022;177,839996;178,029999;174,399994;174,610001;174,353836;103049300
01-04-2022;174,029999;174,880005;171,940002;174,309998;174,05426;78751300
04-04-2022;174,570007;178,490005;174,440002;178,440002;178,178207;76468400
05-04-2022;177,5;178,300003;174,419998;175,059998;174,803162;73401800
06-04-2022;172,360001;173,630005;170,130005;171,830002;171,577911;89058800
07-04-2022;171,160004;173,360001;169,850006;172,139999;171,887451;77594700
08-04-2022;171,779999;171,779999;169,199997;170,089996;169,840454;76575500
11-04-2022;168,710007;169,029999;165,5;165,75;165,506821;72246700
12-04-2022;168,020004;169,869995;166,639999;167,660004;167,414032;79265200
13-04-2022;167,389999;171,039993;166,770004;170,399994;170,149994;70618900
14-04-2022;170,619995;171,270004;165,039993;165,289993;165,047501;75329400
18-04-2022;163,919998;166,600006;163,570007;165,070007;164,827835;69023900
19-04-2022;165,020004;167,820007;163,910004;167,399994;167,154404;67723800
20-04-2022;168,759995;168,880005;166,100006;167,229996;166,98465;67929800
21-04-2022;168,910004;171,529999;165,910004;166,419998;166,175842;87227800
22-04-2022;166,460007;167,869995;161,5;161,789993;161,552628;84882400
25-04-2022;161,119995;163,169998;158,460007;162,880005;162,641037;96046400
26-04-2022;162,25;162,339996;156,720001;156,800003;156,569962;95623200
27-04-2022;155,910004;159,789993;155,380005;156,570007;156,340302;88063200
28-04-2022;159,25;164,520004;158,929993;163,639999;163,399918;130216800
29-04-2022;161,839996;166,199997;157,25;157,649994;157,418701;131747600
02-05-2022;156,710007;158,229996;153,270004;157,960007;157,728256;123055300
03-05-2022;158,149994;160,710007;156,320007;159,479996;159,246017;88966500
04-05-2022;159,669998;166,479996;159,259995;166,020004;165,776428;108256500
05-05-2022;163,850006;164,080002;154,949997;156,770004;156,540009;130525300
06-05-2022;156,009995;159,440002;154,179993;157,279999;157,279999;116124600
09-05-2022;154,929993;155,830002;151,490005;152,059998;152,059998;131577900
10-05-2022;155,520004;156,740005;152,929993;154,509995;154,509995;115366700
11-05-2022;153,5;155,449997;145,809998;146,5;146,5;142689800
12-05-2022;142,770004;146,199997;138,800003;142,559998;142,559998;182602000
13-05-2022;144,589996;148,100006;143,110001;147,110001;147,110001;113990900
16-05-2022;145,550003;147,520004;144,179993;145,539993;145,539993;86643800
17-05-2022;148,860001;149,770004;146,679993;149,240005;149,240005;78336300
18-05-2022;146,850006;147,360001;139,899994;140,820007;140,820007;109742900
19-05-2022;139,880005;141,660004;136,600006;137,350006;137,350006;136095600
20-05-2022;139,089996;140,699997;132,610001;137,589996;137,589996;137426100
23-05-2022;137,789993;143,259995;137,649994;143,110001;143,110001;117726300
24-05-2022;140,809998;141,970001;137,330002;140,360001;140,360001;104132700
25-05-2022;138,429993;141,789993;138,339996;140,520004;140,520004;92482700
26-05-2022;137,389999;144,339996;137,139999;143,779999;143,779999;90601500
27-05-2022;145,389999;149,679993;145,259995;149,639999;149,639999;90978500
31-05-2022;149,070007;150,660004;146,839996;148,839996;148,839996;103718400
01-06-2022;149,899994;151,740005;147,679993;148,710007;148,710007;74286600
02-06-2022;147,830002;151,270004;146,860001;151,210007;151,210007;72348100
03-06-2022;146,899994;147,970001;144,460007;145,380005;145,380005;88570300
06-06-2022;147,029999;148,570007;144,899994;146,139999;146,139999;71598400
07-06-2022;144,350006;149;144,100006;148,710007;148,710007;67808200
08-06-2022;148,580002;149,869995;147,460007;147,960007;147,960007;53950200
09-06-2022;147,080002;147,949997;142,529999;142,639999;142,639999;69473000
10-06-2022;140,279999;140,759995;137,059998;137,130005;137,130005;91437900
13-06-2022;132,869995;135,199997;131,440002;131,880005;131,880005;122207100
14-06-2022;133,130005;133,889999;131,479996;132,759995;132,759995;84784300
15-06-2022;134,289993;137,339996;132,160004;135,429993;135,429993;91533000
16-06-2022;132,080002;132,389999;129,039993;130,059998;130,059998;108123900
17-06-2022;130,070007;133,080002;129,809998;131,559998;131,559998;134520300
21-06-2022;133,419998;137,059998;133,320007;135,869995;135,869995;81000500
22-06-2022;134,789993;137,759995;133,910004;135,350006;135,350006;73409200
23-06-2022;136,820007;138,589996;135,630005;138,270004;138,270004;72433800
24-06-2022;139,899994;141,910004;139,770004;141,660004;141,660004;89116800
27-06-2022;142,699997;143,490005;140,970001;141,660004;141,660004;70207900
28-06-2022;142,130005;143,419998;137,320007;137,440002;137,440002;67083400
29-06-2022;137,460007;140,669998;136,669998;139,229996;139,229996;66242400
30-06-2022;137,25;138,369995;133,770004;136,720001;136,720001;98964500
01-07-2022;136,039993;139,039993;135,660004;138,929993;138,929993;71007500
05-07-2022;137,770004;141,610001;136,929993;141,559998;141,559998;73353800
06-07-2022;141,350006;144,119995;141,080002;142,919998;142,919998;74064300
07-07-2022;143,289993;146,550003;143,279999;146,350006;146,350006;66253700
08-07-2022;145,259995;147,550003;145;147,039993;147,039993;64493200
11-07-2022;145,669998;146,639999;143,779999;144,869995;144,869995;63141600
12-07-2022;145,759995;148,449997;145,050003;145,860001;145,860001;77588800
13-07-2022;142,990005;146,449997;142,119995;145,490005;145,490005;71185600
14-07-2022;144,080002;148,949997;143,25;148,470001;148,470001;78140700
15-07-2022;149,779999;150,860001;148,199997;150,169998;150,169998;76030800
18-07-2022;150,740005;151,570007;146,699997;147,070007;147,070007;81420900
